issue,record_type,record_id,venue_name,operator,what_the_pipeline_produced,source,snippet
"Aramark failed to pay local minority-owned/small vendor partners for three months after the stadium opened. Described as a 'clerical' error. Not a health or wage violation in the traditional sense, but a contract/payment violation against subcontractor vendors. Reviewing whether this qualifies as a contract violation event.",event,ev_a4f21430519ab961,U.S. Bank Stadium,Aramark,violation on ? (confidence 0.82),|TCA Regional News; Chicago | 2016-11-02,"…essionaire Aramark apparently forgot the fourth ""M"" when hyping the food offerings at U.S. Bank Stadium as ""Minnesota, memorable and modern."" That fourth M would be money. Despite making room for and welcoming smaller minority-owned, local restaurateurs, Arama…"
"Aramark identified as 'the previous dining services of R-N', replaced by Gourmet Dining Services effective July 29, 2016. No candidate venue matches this campus.",event,ev_eca51a03b2dca04e,Rutgers University – Newark,Aramark,lost on 2016-07-29 (confidence 0.9),|University Wire; Carlsbad | 2016-09-27,"…arent deliberative process that we conducted in selecting a food service provider for Rutgers University – Newark has yielded an excellent result. Effective today, our new provider is Gourmet Dining Services, a premier food service company that is New Jersey’s…"
"Aramark lost management of the Barnard Store specifically (not the full food service contract). The college took over store management in May 2016 when the previous manager left. Aramark remains the college's food service provider. No venue_id match. This is a retail store, not a stadium/arena/convention center — may be out of scope.",event,ev_b411eb07a4a307b2,Barnard Store,Aramark,lost on 2016-05-01 (confidence 0.75),|University Wire; Carlsbad | 2016-10-06,"Publication: The Columbia Spectator, Columbia University, New York NY. The Barnard Store has been operating without a manager this semester, which has hindered store operations and new employee training, according to current employees. The store has been in a …"
"Aramark lost this contract because the university is bringing services in-house (self_op). Paired with self_op event. No matching venue_id — article is about Northwest Missouri State University, not University of Minnesota. Contract is for facility management services, NOT food service — may be out of scope entirely.",event,ev_4e6c6c0add92e0f7,Northwest Missouri State University,Aramark,lost on 2017-04-03 (confidence 0.85),|University Wire; Carlsbad | 2017-01-18,"Publication: Northwestern Missourian, Northwest Missouri State University, Maryville MO. University officials announced the upcoming termination of a contract with Aramark, a relationship dating back more than 30 years. Northwest President John Jasinski announ…"
"Aramark named as the previous food service provider replaced by Chartwells. SMSU (Southwest Minnesota State University, Marshall MN) does not match any candidate venue. Date inferred from 'As of July' context.",event,ev_9237db883fc6d2ee,SMSU,Aramark,lost on 2016-07-01 (confidence 0.8),|University Wire; Carlsbad | 2016-09-08,"Publication: The Spur, , Southwest State University , Marshall, MN As of July, the SMSU campus Starbucks has been transitioning to a student-run model of management. As a result of this decision, the employees at the Starbucks are well on their way to effectiv…"
"Aramark served moldy bagels to four students on Monday (Nov 7). No candidate venue matches Neil Armstrong Elementary. This is a school, not a stadium/arena/convention center, so may be out of scope for the venue spine. The article also confirms Aramark is the district's food service company but reports no contract award, renewal, or other contract event.",event,ev_d9e12110a28d4aa5,Neil Armstrong Elementary,Aramark,violation on 2016-11-07 (confidence 0.75),"|The Times - Tribune; Scranton, Pa. | 2016-11-10","…als from Aramark, the district's food service company, explained how four students at Neil Armstrong Elementary were served moldy bagels on Monday. The bagels, defrosted and served to students on Friday, were refrigerated in their packaging. Condensation cause…"
Article describes Aramark as having replaced Sodexo at the University of Louisville. No specific date given for when the switch occurred; article published 2016-09-08 describes changes noticed by returning students (implying start around fall 2016). No candidate venue matches the University of Louisville; needs review.,event,ev_ebcf556433c35988,U of L,Aramark,won on ? (confidence 0.85),|University Wire; Carlsbad | 2016-09-08,"…ning students here at the universityhave recently noticedthe not-so-subtle changes to U of L's dining services. Many may have not even known the university's previous food services provider, Sodexo, is long gone - replaced by newcomer Aramark. Sodexo hasprovid…"
"Article describes a new contract between Georgetown University and Aramark, its current dining services provider, for renovations of Leo O'Donovan dining hall and Hoya Court. No candidate venue matches a Georgetown University dining hall. The contract is described as decided ('it was decided that the renovations will occur under a new contract'). Changes scheduled to be fully in place by start of 2017-2018 academic year. Since Aramark is described as the current provider getting a new contract, this is treated as a renewal.",event,ev_837d0b24b8c555f1,Leo O'Donovan dining hall,Aramark,renewed on ? (confidence 0.75),|University Wire; Carlsbad | 2016-12-12,"Publication: The Georgetown Voice, Georgetown University, Washington DC. Leo O’Donovan dining hall and Hoya Court are scheduled to undergo significant renovations for the 2016-17 academic year. Both Hoya Court and the upper floor of Leo’s will host new meal pl…"
"Article describes a new contract between Georgetown and Aramark, their current dining services provider. This is a university dining hall, not one of the candidate venues (RFK Stadium or D.C. Armory). Changes scheduled to be fully in place by start of 2017-2018 academic year. Venue is campus dining, not a stadium/arena.",event,ev_c045149db3a8ed89,Leo O'Donovan dining hall,Aramark,renewed on 2017-01-01 (confidence 0.8),|University Wire; Carlsbad | 2016-12-12,"Publication: The Georgetown Voice, Georgetown University, Washington DC. Leo O’Donovan dining hall and Hoya Court are scheduled to undergo significant renovations for the 2016-17 academic year. Both Hoya Court and the upper floor of Leo’s will host new meal pl…"
"Article describes approval of Amendment No. 13 to a 2005 Food Service Contract with Aramark Educational Services. This is an amendment to an existing contract (reducing commissions beginning June 1, 2018, to support expansion of food service operations), not a new award or a renewal per se. Classified as 'renewed' since it extends/modifies an existing contract, but reviewer should verify whether this qualifies as a contract event or is merely an amendment. No candidate venue matches Sam Houston State University. Original contract dates to 2005.",event,ev_79756416ee45996e,SHSU,"ARAMARK Educational Services of Texas, Inc.",renewed on ? (confidence 0.55),"|US Fed News Service, Including US State News; Washington, D.C. | 2016-08-20","… 2016. Contracts * Approved the replacement of the existing license agreement between SHSU and Blackboard Learn, which has been in effect since Sept. 1, 2012, for a five-year term beginning Sept. 1, 2016. * Approved Amendment No. 13 to the 2005 Food Service Co…"
"Article identifies Aramark as the previous dining services provider, replaced by Chartwells in May 2016. Venue is the Cohen Center at FGCU; no matching candidate venue.",event,ev_046e976888731612,The Perch,Aramark,lost on 2016-05-01 (confidence 0.85),|University Wire; Carlsbad | 2016-10-06,"Publication: The Eagle, Florida Gulf Coast University, Fort Myers FL. Known as ""The Perch"" by the Florida Department of Health, some locations of the cafeteria in the FGCU Cohen Center failed a consecutive total of eight inspections from as early as Sept. 23, …"
"Article mentions Michigan terminated a $145M contract with Aramark Correctional Services for feeding state prisoners due to lack of cleanliness, unapproved menu substitutions, etc. This is a state prison system, not a stadium/arena/convention center. No matching venue in candidate list. This is a correctional facility contract, not a sports/entertainment venue, so likely out of scope for this tracker.",event,ev_0846e9280e833e5a,Michigan,Aramark Correctional Services,violation on ? (confidence 0.4),"|Kennebec Journal; Augusta, Me. | 2016-10-25","…that were previously managed and operated by Louisiana State University. And in 2014, Michigan terminated a three-year, $145 million contract with Aramark Correctional Services a year after the company hired to feed state prisoners came under scrutiny for a la…"
"Article mentions Michigan terminated a 3-year $145M contract with Aramark Correctional Services after scrutiny for lack of cleanliness, unapproved menu substitutions and other issues. This is a state prison food service contract, not a stadium/arena/convention center. No matching venue in candidate list. The article says termination was in 2014, about a year after the company was hired. This is a prison food contract, likely outside scope of stadium/arena tracking.",event,ev_a2fe2aa2e307ca2c,Michigan,Aramark Correctional Services,violation on ? (confidence 0.75),"|Morning Sentinel; Waterville, Me. | 2016-10-25","…that were previously managed and operated by Louisiana State University. And in 2014, Michigan terminated a three-year, $145 million contract with Aramark Correctional Services a year after the company hired to feed state prisoners came under scrutiny for a la…"
"Article refers to 'the university' without naming it explicitly. Source title says 'universitys dining contractor' but doesn't name the university. References to Leo's, O'Donovan Hall, and COO Christopher Augostini suggest Georgetown University, but this is not stated in the body text. No candidate venue matches. The announcement was made via email on a Tuesday; source_date is 2016-11-09 which is a Wednesday, so the announcement was likely Nov 8. Yearlong bid process between Aramark and Sodexo ended with Aramark retaining the contract for 10 more years.",event,ev_3e9dcb397dbe5cb5,the university,Aramark,renewed on 2016-11-01 (confidence 0.75),|MENA Report; Camden | 2016-11-09,"…st floor of O'Donovan Hall into a food court this summer, Aramark will continue to be the universitys dining contractor for the next ten years. Announced by Chief Operating Officer Christopher Augostini in a campuswide email Tuesday, the deal, ends a yearlong …"
"Article refers to SMSU (Southwest State University, Marshall, MN) — not University of Minnesota. No matching venue_id in candidates. The switch from Aramark to Chartwells is described as having already occurred but no date is given.",event,ev_d43a44138dcf3ec5,SMSU campus,Compass,won on ? (confidence 0.8),|University Wire; Carlsbad | 2016-09-08,"Publication: The Spur, , Southwest State University , Marshall, MN As of July, the SMSU campus Starbucks has been transitioning to a student-run model of management. As a result of this decision, the employees at the Starbucks are well on their way to effectiv…"
"Article reports $2M+ in penalties for unauthorized meal substitutions, delays, inadequate staffing, and sanitation violations since Trinity began providing meals in Sept 2015. No matching venue_id; this is a state prison system, not a stadium/arena/convention center. Operator not on known crosswalk.",event,ev_cd58e0f13974709c,Michigan Department of Corrections,Trinity Services Group,violation on ? (confidence 0.75),|Crain's Detroit Business; Detroit | 2017-01-30,"…licy changes expected from the new administration, Isely said. MICH-CELLANEOUS -- The Michigan Department of Corrections slapped its latest food contractor with more than $2 million in penalties for inadequate staffing and other problems since it began providi…"
Article reports Aramark failed to pay local/minority-owned food vendor partners for ~3 months after building opened. Categorized as a contract violation (payment failure to subcontracted vendors). Exact date unclear; payments began being made late October 2016 per article context. Aramark confirmed as concessionaire at the venue but no contract award event is reported here.,event,ev_1d9b218f0ccdcaa8,U.S. Bank Stadium,Aramark,violation on ? (confidence 0.85),"|Star Tribune; Minneapolis, Minn. | 2016-11-02","…essionaire Aramark apparently forgot the fourth ""M"" when hyping the food offerings at U.S. Bank Stadium as ""Minnesota, memorable and modern."" That fourth M would be money. Despite making room for and welcoming smaller minority-owned, local restaurateurs, Arama…"
"Article reports Aramark served moldy bagels to four students at Neil Armstrong Elementary on Monday (2016-11-07). This is a food safety violation at a school, not a stadium/arena/convention center venue. No matching venue in candidate list. Venue is an elementary school, outside the typical scope of stadium/arena tracking.",event,ev_f6b78a138640f421,Neil Armstrong Elementary,Aramark,violation on 2016-11-07 (confidence 0.75),|TCA Regional News; Chicago | 2016-11-10,"…als from Aramark, the district's food service company, explained how four students at Neil Armstrong Elementary were served moldy bagels on Monday. The bagels, defrosted and served to students on Friday, were refrigerated in their packaging. Condensation cause…"
"Article reports Lafayette General Health transitioning its outsourced Environmental Services Department (EVS) back in-house on Dec. 12, 2016, ending an Aramark EVS contract. This is environmental services, not food-service concessions, but it is an outsourced services contract being brought in-house. No candidate venue matches a hospital; venue_id set to null. Reviewer should confirm whether EVS contracts are in scope for this dataset.",event,ev_1a353a09bbc49880,Lafayette General Health,Aramark,self_op on 2016-12-12 (confidence 0.85),"|The Daily Advertiser; Lafayette, La. | 2016-10-11","…veraging ARI's upgraded tracking technology and reliability. In a health system move, Lafayette General Health will transition its outsourced Environmental Services Department back under the health system umbrella on Dec. 12. Current Aramark EVS employees with…"
"Article reports Michigan and Aramark 'agreed to end their $145 million, three-year contract 18 months early' in 2015. This is a prison system, not a stadium/arena/convention center — likely out of scope. No matching venue_id. Date is approximate (article says 'in 2015'). Reported secondhand via Detroit Free Press.",event,ev_8919c20ab2a949d0,Michigan Department of Corrections,Aramark,lost on 2015-01-01 (confidence 0.5),"|News Sentinel; Knoxville, Tenn. | 2016-08-05","…well, but the Michigan contract didnt work out. Regrettably, the partnership with the Michigan Department of Corrections (MDOC) did not work out as both sides hoped, and that was disappointing. We are proud to have served the state during a major groundbreakin…"
"Article says 'Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo.' No candidate venue matched. Date is approximate — 'earlier this year' relative to Oct 2016 publication. This covers UMaine System campuses broadly, not a single venue.",event,ev_e3f304b01ecabdf4,University of Maine System,Sodexo,won on 2016-01-01 (confidence 0.85),"|Portland Press Herald; Portland, Me. | 2016-10-23","…get more Maine-grown food served in the schools' dining halls. Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo, citing in part the company's commitment to source 25 to 30 percent of its food locally; previous…"
"Article says 'Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo.' No venue_id match — this is a university dining contract across multiple campuses, not a single venue. Date is 'earlier this year' (2016), precision set to year.",event,ev_c879640f6f86d456,University of Maine System,Sodexo,won on 2016-01-01 (confidence 0.85),"|Portland Press Herald; Portland, Me. | 2016-10-23","…get more Maine-grown food served in the schools' dining halls. Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo, citing in part the company's commitment to source 25 to 30 percent of its food locally; previous…"
"Article says 'In the fall of 2017 Vassar is switching food service providers from Aramark to Bon Appétit,' per a Dean's email announcing the decision. No candidate venue matches Vassar College. Date is 'fall of 2017' so approximate.",event,ev_9f03a8a9bbee074c,the Deece,Compass,won on 2017-01-01 (confidence 0.85),|University Wire; Carlsbad | 2016-11-30,"…ting, between 2000 and 2002 that is still in place. Greenway picks up food waste from the Deece, the Retreat and Ferry House five times a week and composts it using biological processes. Greenway’s founder Shabazz Jackson is enthusiastic about the partnership …"
"Article says 'In the fall of 2017 Vassar is switching food service providers from Aramark to Bon Appétit.' This is presented as a decided transition per an April 5 school-wide email from the Dean, not a pending decision. No candidate venue matches Vassar College / the Deece / ACDC. Date is 'fall of 2017' so approximate.",event,ev_2e613f83a9ed12fe,the Deece,Aramark,lost on 2017-01-01 (confidence 0.85),|University Wire; Carlsbad | 2016-11-30,"…ting, between 2000 and 2002 that is still in place. Greenway picks up food waste from the Deece, the Retreat and Ferry House five times a week and composts it using biological processes. Greenway’s founder Shabazz Jackson is enthusiastic about the partnership …"
"Article says 'Minnesota has brought its food service provision back in-house after years of outsourcing to the private sector.' This applies to the Minnesota corrections system broadly, not necessarily Ramsey County specifically (Ramsey is a county jail, not a state prison). No date given for when in-house transition occurred. No venue_id match. This is a correctional facility, not a stadium/arena/convention center — may be out of scope.",event,ev_8521b7769abe3a18,Ramsey County correctional facility,Minnesota,self_op on ? (confidence 0.55),|The Guardian (Online); London (UK) | 2016-09-30,"Today is a good day for the roughly 500 prisoners at Ramsey County correctional facility in St Paul, Minnesota. Today is an egg day. It’s just before 7am and the inmates are lining up in the mess hall for breakfast, which this morning features two boiled eggs …"
"Article says 'previously, Aramark held the contract' — lost to Sodexo earlier in 2016. No candidate venue matched. Date is approximate.",event,ev_a6774d5494232339,University of Maine System,Aramark,lost on 2016-01-01 (confidence 0.85),"|Portland Press Herald; Portland, Me. | 2016-10-23","…get more Maine-grown food served in the schools' dining halls. Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo, citing in part the company's commitment to source 25 to 30 percent of its food locally; previous…"
"Article says 'the department plans to award' and 'expected start date' of Oct 1 2016 — contract not yet finalized at publication. However, headline says 'State hires Aramark'. The contract is described as planned/expected, not yet signed. Venue is a prison system, not a stadium/arena/convention center — may be out of scope. No matching venue_id.",event,ev_8745d01a1fc37af0,Tennessee Department of Correction,Aramark,won on 2016-10-01 (confidence 0.55),"|News Sentinel; Knoxville, Tenn. | 2016-08-05","…E After opting to end its relationship with a troubled state-based food provider, the Tennessee Department of Correction chose a company with its own history of issues as its replacement. The department plans to award its food services contract to Aramark, a m…"
"Article says 'the following month' (October) Temple announced Aramark would take over with a 15-year contract. No specific venue named—this is university-wide food service (dining), not a specific stadium/arena contract. No candidate venue matches university dining. Venue ID left null.",event,ev_7540d3607e1095f3,Temple,Aramark,won on 2016-10-01 (confidence 0.85),|University Wire; Carlsbad | 2016-12-29,"Publication: Temple News, Temple University, Philadelphia PA. administration_stitch Neil Theobald (left), addresses the state legislature in Harrisburg in March. Hai-Lung Dai (right), speaks at the opening of the Science Education and Research Center in 2014. …"
Article says Aramark 'recently won a contract to replace Sodexo at Temple University.' No venue_id match among candidates. Date unknown beyond 'recently' relative to Nov 2016.,event,ev_d9fc15e40b846eb8,Temple University,Aramark,won on ? (confidence 0.75),"|Philadelphia Inquirer; Philadelphia, Pa. | 2016-11-01","…tiations. Center City-based Aramark also recently won a contract to replace Sodexo at Temple University. - Harold Brubaker Pa. Water completes deal Pennsylvania American Water, a subsidiary of American Water of Voorhees, said Monday that it has completed the a…"
Article says Aramark 'recently won a contract to replace Sodexo at Temple University.' No venue_id match in candidate list. No specific date given; described as recent.,event,ev_34e141aaae716a04,Temple University,Aramark,won on ? (confidence 0.75),"|Philadelphia Inquirer; Philadelphia, Pa. | 2016-11-01","…tiations. Center City-based Aramark also recently won a contract to replace Sodexo at Temple University. - Harold Brubaker Pa. Water completes deal Pennsylvania American Water, a subsidiary of American Water of Voorhees, said Monday that it has completed the a…"
Article says Aramark has been with UNO for 17 years as of 2016 (implying ~1999 start) on a 10-year contract renewed twice. Start date is inferred from '17 years' statement. No venue_id match.,event,ev_5b4b0c0b369d9003,University of New Orleans,Aramark,won on 1999-01-01 (confidence 0.55),|University Wire; Carlsbad | 2016-09-21,"Publication: Driftwood, University of New Orleans, New Orleans LA. Aramark’s 10-year contract has been renewed twice by the university, allowing for a 20-year partnership. Many University of New Orleans students have mixed feelings with food supplier, but UNO …"
